"MLRA","Ecological site ID","Ecological site legacy ID","Property","Measurement unit","Representative low","Representative high","Range low","Range high","Average"
"042A","R042AB263TX","R042AB263TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB263TX","R042AB263TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB263TX","R042AB263TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB264TX","R042AB264TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB264TX","R042AB264TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB264TX","R042AB264TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB586TX","R042AB586TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB586TX","R042AB586TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB586TX","R042AB586TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB733TX","R042AB733TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB733TX","R042AB733TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB733TX","R042AB733TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB734TX","R042AB734TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB734TX","R042AB734TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB734TX","R042AB734TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB735TX","R042AB735TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB735TX","R042AB735TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB735TX","R042AB735TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB736TX","R042AB736TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB736TX","R042AB736TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB736TX","R042AB736TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB737TX","R042AB737TX","mean annual precipitation",NA,NA,NA,NA,NA,12
"042A","R042AB737TX","R042AB737TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB737TX","R042AB737TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB738TX","R042AB738TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB738TX","R042AB738TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB738TX","R042AB738TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB739TX","R042AB739TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB739TX","R042AB739TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB739TX","R042AB739TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AC241TX","R042AC241TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AC241TX","R042AC241TX","frost free days",NA,NA,NA,NA,NA,241
"042A","R042AC241TX","R042AC241TX","freeze free days",NA,NA,NA,NA,NA,218
"042A","R042AC244TX","R042AC244TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC244TX","R042AC244TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC244TX","R042AC244TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AC247TX","R042AC247TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC247TX","R042AC247TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC247TX","R042AC247TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AC249TX","R042AC249TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC249TX","R042AC249TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC249TX","R042AC249TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AC255TX","R042AC255TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC255TX","R042AC255TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC255TX","R042AC255TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AD001NM","R042AD001NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD001NM","R042AD001NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD001NM","R042AD001NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD002NM","R042AD002NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD002NM","R042AD002NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD002NM","R042AD002NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD003NM","R042AD003NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD003NM","R042AD003NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD003NM","R042AD003NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD004NM","R042AD004NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD004NM","R042AD004NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD004NM","R042AD004NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD005NM","R042AD005NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD005NM","R042AD005NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD005NM","R042AD005NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD006NM","R042AD006NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD006NM","R042AD006NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD006NM","R042AD006NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD007NM","R042AD007NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD007NM","R042AD007NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD007NM","R042AD007NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD008NM","R042AD008NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD008NM","R042AD008NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD008NM","R042AD008NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD744TX","R042AD744TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD744TX","R042AD744TX","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD744TX","R042AD744TX","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AE272TX","R042AE272TX","mean annual precipitation",NA,NA,NA,NA,NA,17
"042A","R042AE272TX","R042AE272TX","frost free days",NA,NA,NA,NA,NA,215
"042A","R042AE272TX","R042AE272TX","freeze free days",NA,NA,NA,NA,NA,230
"042A","R042AE274TX","R042AE274TX","mean annual precipitation",NA,15,18,14,19,17
"042A","R042AE274TX","R042AE274TX","frost free days",NA,202,205,201,206,204
"042A","R042AE274TX","R042AE274TX","freeze free days",NA,221,232,219,234,227
"042A","R042AE275TX","R042AE275TX","mean annual precipitation",NA,NA,NA,NA,NA,17
"042A","R042AE275TX","R042AE275TX","frost free days",NA,NA,NA,NA,NA,215
"042A","R042AE275TX","R042AE275TX","freeze free days",NA,NA,NA,NA,NA,230
"042A","R042AE277TX","R042AE277TX","mean annual precipitation",NA,NA,NA,NA,NA,17
"042A","R042AE277TX","R042AE277TX","frost free days",NA,NA,NA,NA,NA,215
"042A","R042AE277TX","R042AE277TX","freeze free days",NA,NA,NA,NA,NA,230
"042A","R042AE278TX","R042AE278TX","mean annual precipitation",NA,NA,NA,NA,NA,17
"042A","R042AE278TX","R042AE278TX","frost free days",NA,NA,NA,NA,NA,215
"042A","R042AE278TX","R042AE278TX","freeze free days",NA,NA,NA,NA,NA,230
"042A","R042AE279TX","R042AE279TX","mean annual precipitation",NA,NA,NA,NA,NA,17
"042A","R042AE279TX","R042AE279TX","frost free days",NA,NA,NA,NA,NA,215
"042A","R042AE279TX","R042AE279TX","freeze free days",NA,NA,NA,NA,NA,230
"042A","R042AE281TX","R042AE281TX","mean annual precipitation",NA,NA,NA,NA,NA,17
"042A","R042AE281TX","R042AE281TX","frost free days",NA,NA,NA,NA,NA,215
"042A","R042AE281TX","R042AE281TX","freeze free days",NA,NA,NA,NA,NA,230
"042A","R042AF286TX","R042AF286TX","mean annual precipitation",NA,NA,NA,NA,NA,26
"042A","R042AF286TX","R042AF286TX","frost free days",NA,NA,NA,NA,NA,213
"042A","R042AF286TX","R042AF286TX","freeze free days",NA,NA,NA,NA,NA,230
"042B","R042BB001NM","R042BB001NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB001NM","R042BB001NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB001NM","R042BB001NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB002NM","R042BB002NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB002NM","R042BB002NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB002NM","R042BB002NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB003NM","R042BB003NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB003NM","R042BB003NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB003NM","R042BB003NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB004NM","R042BB004NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB004NM","R042BB004NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB004NM","R042BB004NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB005NM","R042BB005NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB005NM","R042BB005NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB005NM","R042BB005NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB006NM","R042BB006NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB006NM","R042BB006NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB006NM","R042BB006NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB007NM","R042BB007NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB007NM","R042BB007NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB007NM","R042BB007NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB008NM","R042BB008NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB008NM","R042BB008NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB008NM","R042BB008NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB010NM","R042BB010NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB010NM","R042BB010NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB010NM","R042BB010NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB011NM","R042BB011NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB011NM","R042BB011NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB011NM","R042BB011NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB012NM","R042BB012NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BB012NM","R042BB012NM","frost free days",NA,NA,NA,NA,NA,194
"042B","R042BB012NM","R042BB012NM","freeze free days",NA,NA,NA,NA,NA,215
"042B","R042BB013NM","R042BB013NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB013NM","R042BB013NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB013NM","R042BB013NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB014NM","R042BB014NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB014NM","R042BB014NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB014NM","R042BB014NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB015NM","R042BB015NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB015NM","R042BB015NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB015NM","R042BB015NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB016NM","R042BB016NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB016NM","R042BB016NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB016NM","R042BB016NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB018NM","R042BB018NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB018NM","R042BB018NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB018NM","R042BB018NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB019NM","R042BB019NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB019NM","R042BB019NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB019NM","R042BB019NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB021NM","R042BB021NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB021NM","R042BB021NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB021NM","R042BB021NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB023NM","R042BB023NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB023NM","R042BB023NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB023NM","R042BB023NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB024NM","R042BB024NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB024NM","R042BB024NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB024NM","R042BB024NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB027NM","R042BB027NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB027NM","R042BB027NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB027NM","R042BB027NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB028NM","R042BB028NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB028NM","R042BB028NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB028NM","R042BB028NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB033NM","R042BB033NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB033NM","R042BB033NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB033NM","R042BB033NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB035NM","R042BB035NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB035NM","R042BB035NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB035NM","R042BB035NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB036NM","R042BB036NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB036NM","R042BB036NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB036NM","R042BB036NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BB037NM","R042BB037NM","mean annual precipitation",NA,NA,NA,NA,NA,12
"042B","R042BB037NM","R042BB037NM","frost free days",NA,NA,NA,NA,NA,205
"042B","R042BB037NM","R042BB037NM","freeze free days",NA,NA,NA,NA,NA,227
"042B","R042BE051NM","R042BE051NM","mean annual precipitation",NA,NA,NA,NA,NA,9
"042B","R042BE051NM","R042BE051NM","frost free days",NA,NA,NA,NA,NA,201
"042B","R042BE051NM","R042BE051NM","freeze free days",NA,NA,NA,NA,NA,152
"042B","R042BE052NM","R042BE052NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BE052NM","R042BE052NM","frost free days",NA,NA,NA,NA,NA,165
"042B","R042BE052NM","R042BE052NM","freeze free days",NA,NA,NA,NA,NA,213
"042B","R042BE053NM","R042BE053NM","mean annual precipitation",NA,NA,NA,NA,NA,9
"042B","R042BE053NM","R042BE053NM","frost free days",NA,NA,NA,NA,NA,152
"042B","R042BE053NM","R042BE053NM","freeze free days",NA,NA,NA,NA,NA,201
"042B","R042BE054NM","R042BE054NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BE054NM","R042BE054NM","frost free days",NA,NA,NA,NA,NA,165
"042B","R042BE054NM","R042BE054NM","freeze free days",NA,NA,NA,NA,NA,213
"042B","R042BE055NM","R042BE055NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BE055NM","R042BE055NM","frost free days",NA,NA,NA,NA,NA,165
"042B","R042BE055NM","R042BE055NM","freeze free days",NA,NA,NA,NA,NA,213
"042B","R042BE057NM","R042BE057NM","mean annual precipitation",NA,NA,NA,NA,NA,9
"042B","R042BE057NM","R042BE057NM","frost free days",NA,NA,NA,NA,NA,152
"042B","R042BE057NM","R042BE057NM","freeze free days",NA,NA,NA,NA,NA,201
"042B","R042BE060NM","R042BE060NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BE060NM","R042BE060NM","frost free days",NA,NA,NA,NA,NA,165
"042B","R042BE060NM","R042BE060NM","freeze free days",NA,NA,NA,NA,NA,213
"042B","R042BE061NM","R042BE061NM","mean annual precipitation",NA,NA,NA,NA,NA,9
"042B","R042BE061NM","R042BE061NM","frost free days",NA,NA,NA,NA,NA,152
"042B","R042BE061NM","R042BE061NM","freeze free days",NA,NA,NA,NA,NA,201
"042B","R042BE062NM","R042BE062NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BE062NM","R042BE062NM","frost free days",NA,NA,NA,NA,NA,165
"042B","R042BE062NM","R042BE062NM","freeze free days",NA,NA,NA,NA,NA,213
"042B","R042BE063NM","R042BE063NM","mean annual precipitation",NA,NA,NA,NA,NA,10
"042B","R042BE063NM","R042BE063NM","frost free days",NA,NA,NA,NA,NA,165
"042B","R042BE063NM","R042BE063NM","freeze free days",NA,NA,NA,NA,NA,213
"042B","R042BF020NM","R042BF020NM","mean annual precipitation",NA,NA,NA,NA,NA,13
"042B","R042BF020NM","R042BF020NM","frost free days",NA,NA,NA,NA,NA,220
"042B","R042BF020NM","R042BF020NM","freeze free days",NA,NA,NA,NA,NA,240
"042C","F042CY020TX","F042CY020TX","mean annual precipitation",NA,NA,NA,NA,NA,16
"042C","F042CY020TX","F042CY020TX","frost free days",NA,NA,NA,NA,NA,173
"042C","F042CY020TX","F042CY020TX","freeze free days",NA,NA,NA,NA,NA,187
"042C","F042CY021TX","F042CY021TX","mean annual precipitation",NA,NA,NA,NA,NA,16
"042C","F042CY021TX","F042CY021TX","frost free days",NA,NA,NA,NA,NA,173
"042C","F042CY021TX","F042CY021TX","freeze free days",NA,NA,NA,NA,NA,187
"042C","R042CY001NM","R042CY001NM","mean annual precipitation",NA,NA,NA,NA,NA,20
"042C","R042CY001NM","R042CY001NM","frost free days",NA,NA,NA,NA,NA,245
"042C","R042CY001NM","R042CY001NM","freeze free days",NA,NA,NA,NA,NA,262
"042C","R042CY002NM","R042CY002NM","mean annual precipitation",NA,NA,NA,NA,NA,20
"042C","R042CY002NM","R042CY002NM","frost free days",NA,NA,NA,NA,NA,245
"042C","R042CY002NM","R042CY002NM","freeze free days",NA,NA,NA,NA,NA,262
"042C","R042CY003NM","R042CY003NM","mean annual precipitation",NA,NA,NA,NA,NA,18
"042C","R042CY003NM","R042CY003NM","frost free days",NA,NA,NA,NA,NA,243
"042C","R042CY003NM","R042CY003NM","freeze free days",NA,NA,NA,NA,NA,263
"042C","R042CY004NM","R042CY004NM","mean annual precipitation",NA,NA,NA,NA,NA,18
"042C","R042CY004NM","R042CY004NM","frost free days",NA,NA,NA,NA,NA,243
"042C","R042CY004NM","R042CY004NM","freeze free days",NA,NA,NA,NA,NA,263
"042C","R042CY005NM","R042CY005NM","mean annual precipitation",NA,NA,NA,NA,NA,18
"042C","R042CY005NM","R042CY005NM","frost free days",NA,NA,NA,NA,NA,243
"042C","R042CY005NM","R042CY005NM","freeze free days",NA,NA,NA,NA,NA,263
"042C","R042CY006NM","R042CY006NM","mean annual precipitation",NA,NA,NA,NA,NA,18
"042C","R042CY006NM","R042CY006NM","frost free days",NA,NA,NA,NA,NA,243
"042C","R042CY006NM","R042CY006NM","freeze free days",NA,NA,NA,NA,NA,263
"042C","R042CY007NM","R042CY007NM","mean annual precipitation",NA,NA,NA,NA,NA,18
"042C","R042CY007NM","R042CY007NM","frost free days",NA,NA,NA,NA,NA,243
"042C","R042CY007NM","R042CY007NM","freeze free days",NA,NA,NA,NA,NA,263
"042C","R042CY125TX","R042CY125TX","mean annual precipitation",NA,NA,NA,NA,NA,16
"042C","R042CY125TX","R042CY125TX","frost free days",NA,NA,NA,NA,NA,173
"042C","R042CY125TX","R042CY125TX","freeze free days",NA,NA,NA,NA,NA,187
"042C","R042CY745TX","R042CY745TX","mean annual precipitation",NA,NA,NA,NA,NA,16
"042C","R042CY745TX","R042CY745TX","frost free days",NA,NA,NA,NA,NA,173
"042C","R042CY745TX","R042CY745TX","freeze free days",NA,NA,NA,NA,NA,187
"042C","R042CY755TX","R042CY755TX","mean annual precipitation",NA,NA,NA,NA,NA,19
"042C","R042CY755TX","R042CY755TX","frost free days",NA,NA,NA,NA,NA,189
"042C","R042CY755TX","R042CY755TX","freeze free days",NA,NA,NA,NA,NA,211
"042C","R042CY901NM","R042CY901NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042C","R042CY901NM","R042CY901NM","frost free days",NA,NA,NA,NA,NA,225
"042C","R042CY901NM","R042CY901NM","freeze free days",NA,NA,NA,NA,NA,246
"042C","R042CY902NM","R042CY902NM","mean annual precipitation",NA,NA,NA,NA,NA,18
"042C","R042CY902NM","R042CY902NM","frost free days",NA,NA,NA,NA,NA,243
"042C","R042CY902NM","R042CY902NM","freeze free days",NA,NA,NA,NA,NA,263
