"LineKey","RecKey","DateModified","FormType","FormDate","SpecRichMethod","SpecRichMeasure","SpecRichNbrSubPlots","SpecRich1Container","SpecRich1Shape","SpecRich1Dim1","SpecRich1Dim2","SpecRich1Area","SpecRich2Container","SpecRich2Shape","SpecRich2Dim1","SpecRich2Dim2","SpecRich2Area","SpecRich3Container","SpecRich3Shape","SpecRich3Dim1","SpecRich3Dim2","SpecRich3Area","SpecRich4Container","SpecRich4Shape","SpecRich4Dim1","SpecRich4Dim2","SpecRich4Area","SpecRich5Container","SpecRich5Shape","SpecRich5Dim1","SpecRich5Dim2","SpecRich5Area","SpecRich6Container","SpecRich6Shape","SpecRich6Dim1","SpecRich6Dim2","SpecRich6Area","Notes","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1904230855027581","190423121503996",2019-09-25 16:17:06,"SpecRich",2019-04-22 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"19042408532191","1904241207199641",2019-09-23 06:00:34,"SpecRich",2019-04-23 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905020836192794","1905021008184668",2019-09-23 09:54:01,"SpecRich",2019-05-01 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905021444559258","1905021936188548",2019-05-22 05:23:06,"SpecRich",2019-05-01 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19050214445471152019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905041007399372","1905041241411960",2019-09-25 15:33:39,"SpecRich",2019-05-03 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19050410073832002019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905041506102872","190504190409124",2019-05-22 05:32:18,"SpecRich",2019-05-03 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19050415060929242019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905031204188668","1905061353129994",2019-06-30 11:49:04,"SpecRich",2019-05-02 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19050312041751162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190516075112352","1905160924183787",2019-05-20 08:50:15,"SpecRich",2019-05-15 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19051607511289782019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905170856262774","1905171059427937",2019-09-25 16:24:54,"SpecRich",2019-05-16 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19051708562559892019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905171447321255","1905171633357424",2019-10-08 12:46:59,"SpecRich",2019-05-16 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19051714473180282019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905181053245048","190518125417928",2019-05-20 08:51:26,"SpecRich",2019-05-17 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19051810532393352019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905191632264595","1905201400345076",2019-09-25 16:03:08,"SpecRich",2019-05-18 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19051916322599942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905301809441729","1905301943508390",2019-09-25 15:39:21,"SpecRich",2019-05-29 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19053018094260032019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1905311603215255","1905311725487124",2019-05-31 12:12:07,"SpecRich",2019-05-30 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19053116032020292019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906011204092924","1906011815035431",2019-10-08 12:34:13,"SpecRich",2019-05-31 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19060112040862902019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906021342474368","1906021508094095",2019-09-24 04:19:08,"SpecRich",2019-06-01 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19060213424639612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906030856453972","190603100934887",2019-09-25 07:47:32,"SpecRich",2019-06-02 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19060308564431862019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906031315081662","1906031515428564",2019-09-25 15:47:04,"SpecRich",2019-06-02 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19060313150712912019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190602072040603","1906120940453489",2019-10-08 12:46:34,"SpecRich",2019-06-01 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19060207203962862019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906160933358892","1906161310482273",2019-09-25 16:21:43,"SpecRich",2019-06-15 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061609332576632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906170730008437","1906171034549378",2019-09-25 16:20:08,"SpecRich",2019-06-16 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061707295931942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906131344417635","1907031351317741",2019-08-11 03:24:58,"SpecRich",2019-06-12 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061313444010032019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190628140457299","1907031409467586",2019-09-25 10:54:14,"SpecRich",2019-06-27 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19062814045696002019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906140739527330","1907031411257467",2019-07-03 08:12:30,"SpecRich",2019-06-13 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061407395147852019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906150753325246","190703141337191",2019-07-03 08:14:07,"SpecRich",2019-06-14 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061507533121362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906291026395633","19070314163095",2019-09-25 15:43:24,"SpecRich",2019-06-28 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19062910263749062019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906141254247767","1907031419331179",2019-09-25 16:04:08,"SpecRich",2019-06-13 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","1906141254235022019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906151240302219","1907031420304466",2019-09-25 16:05:24,"SpecRich",2019-06-14 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061512402980792019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1906180744333615","1907031421226264",2019-07-03 08:27:46,"SpecRich",2019-06-17 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19061807443293572019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907110806582233","1907110931033677",2019-07-16 10:01:24,"SpecRich",2019-07-10 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071108065862072019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907111406501081","1907111605504284",2019-09-25 15:37:54,"SpecRich",2019-07-10 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","1907111406492262019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907120726583129","1907120838591445",2019-07-16 09:34:09,"SpecRich",2019-07-11 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071207265771652019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907121234033419","1907121324585917",2019-09-25 15:58:57,"SpecRich",2019-07-11 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071212340255922019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907130718242782","1907130918083343",2019-09-25 16:01:39,"SpecRich",2019-07-12 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071307182343162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907131309402013","1907131434451438",2019-07-15 10:51:44,"SpecRich",2019-07-12 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071313093952172019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907140744401033","1907140919194916",2019-09-25 15:59:54,"SpecRich",2019-07-13 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071407443997632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907150731338462","190715091544247",2019-07-15 10:51:15,"SpecRich",2019-07-14 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071507313265642019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907251035265348","1907251157471334",2019-09-25 15:55:23,"SpecRich",2019-07-24 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072510352554362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907261248165437","1907261424156618",2019-08-11 03:23:19,"SpecRich",2019-07-25 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072612481561662019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190727082543500","1907270958189052",2019-09-25 15:44:20,"SpecRich",2019-07-26 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072708254210942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907271347557225","1907271522316223",2019-09-25 16:06:57,"SpecRich",2019-07-26 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072713475468532019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190728084445697","1907281042343818",2019-09-25 15:30:21,"SpecRich",2019-07-27 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072808444474872019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907281533072121","1907281701571557",2019-08-11 03:38:45,"SpecRich",2019-07-27 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072815330678182019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907291103526364","1907291256099375",2019-09-25 16:00:30,"SpecRich",2019-07-28 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072911035151822019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907300824453110","1907300957399758",2019-10-08 12:34:35,"SpecRich",2019-07-29 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19073008244487192019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907301200327021","1907301338297834",2019-08-11 02:35:55,"SpecRich",2019-07-29 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1908071327113053","1908071458245973",2019-08-11 03:27:16,"SpecRich",2019-08-06 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190808082444919","1908080954247452",2019-08-08 03:54:45,"SpecRich",2019-08-07 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19080808244384022019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
